112.200.223.65 - - [18/Jul/2010:06:26:00 -0400] "GET /ece242/examples/HelloWorld.java HTTP/1.1" 404 335 "http://www.ecs.umass.edu/ece/ece122/help/setenvironment.htm" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; InfoPath.2)"
128.119.100.153 - - [18/Jul/2010:06:26:53 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:26:53 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:06:27:05 -0400] "GET /mnilpub/download/README_PTE.txt HTTP/1.0" 200 1633 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
128.119.100.153 - - [18/Jul/2010:06:37:29 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:37:31 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:37:32 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:41:17 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:41:39 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:41:40 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
220.181.7.66 - - [18/Jul/2010:06:49:06 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
123.125.66.134 - - [18/Jul/2010:06:51:12 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
128.119.100.153 - - [18/Jul/2010:06:52:48 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:06:55:41 -0400] "GET /~gao/ece697_05/ HTTP/1.0" 404 327 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
128.119.100.153 - - [18/Jul/2010:06:57:03 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:57:03 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:57:06 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:57:07 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:57:20 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:06:57:21 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:07:34 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:12:39 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:12:41 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:22:15 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:22:18 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:22:20 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:22:21 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:22:21 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:29:14 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:29:16 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:31:25 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:37:21 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:37:22 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:37:23 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
123.125.66.60 - - [18/Jul/2010:07:40:38 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
220.181.7.81 - - [18/Jul/2010:07:41:18 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
128.119.100.153 - - [18/Jul/2010:07:41:45 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:42:26 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:42:28 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:52:14 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:57:30 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:57:30 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:57:30 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:07:57:31 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:07:58:04 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.113.245 - - [18/Jul/2010:07:58:05 -0400] "GET /~yliao/html/paper/aic02.pdf HTTP/1.0" 200 110707 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
128.119.100.153 - - [18/Jul/2010:08:01:29 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:01:31 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:02:06 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:08:11:58 -0400] "GET /mnilpub/papers/p317-wang-slide.ppt HTTP/1.0" 200 408576 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
207.46.199.185 - - [18/Jul/2010:08:15:29 -0400] "GET /robots.txt HTTP/1.1" 404 415 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
128.119.100.153 - - [18/Jul/2010:08:17:54 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:18:39 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:18:39 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:18:40 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:21:50 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:21:50 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
